node_id,C,H,O,N,S,Cl,exp_mass,DBE,AImod,NOSC,O_C,H_C,N/C,S/C,Cl/C,DBE-O,DBE/C
595.240735,29,40,13,0,0,0,595.240735,10,0.155555556,-0.482758621,0.448275862,1.379310345,0,0,0,-3,0.344827586
609.256878,30,42,13,0,0,0,609.256878,10,0.14893617,-0.533333333,0.433333333,1.4,0,0,0,-3,0.333333333
276.985118,9,10,6,0,2,0,276.985118,5,0,0.666666667,0.666666667,1.111111111,0,0.222222222,0,-1,0.555555556
493.11821,14,27,13,4,0,1,493.11821,3,-2.142857143,0.785714286,0.928571429,1.928571429,0.285714286,0,0.071428571,-10,0.214285714
441.203914,24,30,6,2,0,0,441.203914,11,0.315789474,-0.5,0.25,1.25,0.083333333,0,0,5,0.458333333
585.25562,28,42,13,0,0,0,585.25562,8,0.069767442,-0.571428571,0.464285714,1.5,0,0,0,-5,0.285714286
307.08048,19,16,2,0,1,0,307.08048,12,0.588235294,-0.526315789,0.105263158,0.842105263,0,0.052631579,0,10,0.631578947
394.105113,20,17,6,3,0,0,394.105113,14,0.571428571,0.2,0.3,0.85,0.15,0,0,8,0.7
435.11211,21,24,8,0,1,0,435.11211,10,0.3125,-0.285714286,0.380952381,1.142857143,0,0.047619048,0,2,0.476190476
481.332967,31,46,4,0,0,0,481.332967,9,0.24137931,-1.225806452,0.129032258,1.483870968,0,0,0,5,0.290322581
326.063559,12,13,8,3,0,0,326.063559,8,0.2,1,0.666666667,1.083333333,0.25,0,0,0,0.666666667
351.107389,12,21,6,4,0,1,351.107389,4,-0.6,0.25,0.5,1.75,0.333333333,0,0.083333333,-2,0.333333333
372.051189,13,15,8,3,1,0,372.051189,8,0,0.923076923,0.615384615,1.153846154,0.230769231,0.076923077,0,0,0.615384615
391.01711,14,8,10,4,0,0,391.01711,13,0.8,1.714285714,0.714285714,0.571428571,0.285714286,0,0,3,0.928571429
409.064033,15,14,10,4,0,0,409.064033,11,0.333333333,1.2,0.666666667,0.933333333,0.266666667,0,0,1,0.733333333
450.107575,17,25,11,1,1,0,450.107575,6,-0.157894737,0.117647059,0.647058824,1.470588235,0.058823529,0.058823529,0,-5,0.352941176
413.168695,17,26,8,4,0,0,413.168695,7,-0.111111111,0.117647059,0.470588235,1.529411765,0.235294118,0,0,-1,0.411764706
470.178881,20,29,10,3,0,0,470.178881,8,0,0,0.5,1.45,0.15,0,0,-2,0.4
433.20825,20,34,10,0,0,0,433.20825,4,-0.066666667,-0.7,0.5,1.7,0,0,0,-6,0.2
498.199153,23,33,11,1,0,0,498.199153,8,0.090909091,-0.347826087,0.47826087,1.434782609,0.043478261,0,0,-3,0.347826087
482.146459,25,25,9,1,0,0,482.146459,14,0.435897436,-0.16,0.36,1,0.04,0,0,5,0.56
557.24031,30,38,10,0,0,0,557.24031,12,0.28,-0.6,0.333333333,1.266666667,0,0,0,2,0.4
283.003411,10,8,6,2,1,0,283.003411,8,0.5,1.2,0.6,0.8,0.2,0.1,0,2,0.8
358.01441,15,9,6,3,1,0,358.01441,13,0.75,0.933333333,0.4,0.6,0.2,0.066666667,0,7,0.866666667
422.084842,17,17,10,3,0,0,422.084842,11,0.333333333,0.705882353,0.588235294,1,0.176470588,0,0,1,0.647058824
481.175296,20,34,11,0,1,0,481.175296,4,-0.185185185,-0.5,0.55,1.7,0,0.05,0,-7,0.2
508.092628,22,23,11,1,1,0,508.092628,12,0.310344828,0.181818182,0.5,1.045454545,0.045454545,0.045454545,0,1,0.545454545
288.000804,10,11,5,1,2,0,288.000804,6,0.111111111,0.6,0.5,1.1,0.1,0.2,0,1,0.6
236.968779,10,6,3,0,2,0,236.968779,8,0.692307692,0.4,0.3,0.6,0,0.2,0,5,0.8
246.088729,12,13,3,3,0,0,246.088729,8,0.466666667,0.166666667,0.25,1.083333333,0.25,0,0,5,0.666666667
306.055664,13,13,4,3,1,0,306.055664,9,0.428571429,0.461538462,0.307692308,1,0.230769231,0.076923077,0,5,0.692307692
407.174848,18,32,8,0,1,0,407.174848,3,-0.153846154,-0.777777778,0.444444444,1.777777778,0,0.055555556,0,-5,0.166666667
469.282009,25,42,8,0,0,0,469.282009,5,0.047619048,-1.04,0.32,1.68,0,0,0,-3,0.2
