node_id,C,H,O,N,S,Cl,exp_mass,DBE,AImod,NOSC,O_C,H_C,N/C,S/C,Cl/C,DBE-O,DBE/C
444.081351,14,23,13,1,1,0,444.081351,4,-0.818181818,0.571428571,0.928571429,1.642857143,0.071428571,0.071428571,0,-9,0.285714286
401.086395,14,23,11,0,0,1,401.086395,3,-0.294117647,-0.071428571,0.785714286,1.642857143,0,0,0.071428571,-8,0.214285714
321.111788,14,23,6,0,0,1,321.111788,3,0,-0.785714286,0.428571429,1.642857143,0,0,0.071428571,-3,0.214285714
283.166901,14,24,4,2,0,0,283.166901,4,0,-0.714285714,0.285714286,1.714285714,0.142857143,0,0,0,0.285714286
299.16164,14,24,5,2,0,0,299.16164,4,-0.052631579,-0.571428571,0.357142857,1.714285714,0.142857143,0,0,-1,0.285714286
395.11248,14,24,9,2,1,0,395.11248,4,-0.538461538,0.142857143,0.642857143,1.714285714,0.142857143,0.071428571,0,-5,0.285714286
399.097486,14,24,11,0,1,0,399.097486,3,-0.466666667,0,0.785714286,1.714285714,0,0.071428571,0,-8,0.214285714
331.153824,14,25,3,4,0,1,331.153824,4,-0.176470588,-0.5,0.214285714,1.785714286,0.285714286,0,0.071428571,1,0.285714286
334.116031,14,25,4,1,2,0,334.116031,3,-0.222222222,-0.714285714,0.285714286,1.785714286,0.071428571,0.142857143,0,-1,0.214285714
387.107008,14,25,10,0,0,1,387.107008,2,-0.333333333,-0.357142857,0.714285714,1.785714286,0,0,0.071428571,-8,0.142857143
403.102105,14,25,11,0,0,1,403.102105,2,-0.411764706,-0.214285714,0.785714286,1.785714286,0,0,0.071428571,-9,0.142857143
365.155739,14,26,9,2,0,0,365.155739,3,-0.466666667,-0.142857143,0.642857143,1.857142857,0.142857143,0,0,-6,0.214285714
402.117792,14,26,10,1,0,1,402.117792,2,-0.5,-0.214285714,0.714285714,1.857142857,0.071428571,0,0.071428571,-8,0.142857143
386.122861,14,26,9,1,0,1,386.122861,2,-0.411764706,-0.357142857,0.642857143,1.857142857,0.071428571,0,0.071428571,-7,0.142857143
257.17613,14,26,4,0,0,0,257.17613,2,0,-1.285714286,0.285714286,1.857142857,0,0,0,-2,0.142857143
389.122701,14,27,10,0,0,1,389.122701,1,-0.444444444,-0.5,0.714285714,1.928571429,0,0,0.071428571,-9,0.071428571
405.117765,14,27,11,0,0,1,405.117765,1,-0.529411765,-0.357142857,0.785714286,1.928571429,0,0,0.071428571,-10,0.071428571
357.132872,14,27,8,0,0,1,357.132872,1,-0.3,-0.785714286,0.571428571,1.928571429,0,0,0.071428571,-7,0.071428571
373.127579,14,27,9,0,0,1,373.127579,1,-0.368421053,-0.642857143,0.642857143,1.928571429,0,0,0.071428571,-8,0.071428571
259.191707,14,28,4,0,0,0,259.191707,1,-0.083333333,-1.428571429,0.285714286,2,0,0,0,-3,0.071428571
267.04159,14,8,4,2,0,0,267.04159,12,0.8,0.428571429,0.285714286,0.571428571,0.142857143,0,0,8,0.857142857
266.057681,14,9,3,3,0,0,266.057681,12,0.789473684,0.428571429,0.214285714,0.642857143,0.214285714,0,0,9,0.857142857
